iter	Passed	Remaining
736	5910	2109
737	5917	2100
738	5924	2092
739	5932	2084
740	5940	2076
741	5947	2068
742	5955	2060
743	5968	2053
744	5980	2046
745	5988	2038
746	5995	2030
747	6002	2022
748	6009	2013
749	6017	2005
750	6024	1997
751	6031	1989
752	6038	1980
753	6045	1972
754	6052	1964
755	6059	1955
756	6066	1947
757	6073	1938
758	6080	1930
759	6087	1922
760	6094	1914
761	6102	1905
762	6110	1897
763	6117	1889
764	6124	1881
765	6131	1873
766	6138	1864
767	6145	1856
768	6152	1848
769	6159	1839
770	6166	1831
771	6173	1823
772	6180	1815
773	6188	1806
774	6196	1798
775	6205	1791
776	6213	1783
777	6220	1774
778	6227	1766
779	6234	1758
780	6241	1750
781	6249	1742
782	6256	1733
783	6263	1725
784	6269	1717
785	6276	1708
786	6284	1700
787	6291	1692
788	6300	1684
789	6307	1676
790	6313	1668
791	6320	1660
792	6328	1651
793	6335	1643
794	6342	1635
795	6349	1627
796	6357	1619
797	6364	1611
798	6372	1603
799	6379	1594
800	6386	1586
801	6393	1578
802	6401	1570
803	6409	1562
804	6416	1554
805	6424	1546
806	6431	1538
807	6441	1530
808	6449	1522
809	6456	1514
810	6463	1506
811	6471	1498
812	6479	1490
813	6486	1482
814	6492	1473
815	6500	1465
816	6507	1457
817	6515	1449
818	6522	1441
819	6530	1433
820	6537	1425
821	6544	1417
822	6551	1408
823	6558	1400
824	6565	1392
825	6573	1384
826	6581	1376
827	6589	1368
828	6596	1360
829	6603	1352
830	6611	1344
831	6619	1336
832	6627	1328
833	6635	1320
834	6642	1312
835	6650	1304
836	6658	1296
837	6665	1288
838	6671	1280
839	6691	1274
840	6699	1266
841	6707	1258
842	6714	1250
843	6721	1242
844	6728	1234
845	6751	1228
846	6758	1220
847	6765	1212
848	6773	1204
849	6780	1196
850	6787	1188
851	6794	1180
852	6801	1172
853	6809	1164
854	6817	1156
855	6825	1148
856	6832	1140
857	6840	1132
858	6848	1124
859	6856	1116
860	6865	1108
861	6872	1100
862	6881	1092
863	6889	1084
864	6895	1076
865	6903	1068
866	6910	1060
867	6917	1052
868	6926	1044
869	6933	1036
870	6940	1027
871	6947	1019
872	6955	1011
873	6963	1003
874	6971	995
875	6978	987
876	6986	979
877	6994	971
878	7002	963
879	7009	955
880	7018	947
881	7026	940
882	7034	932
883	7042	924
884	7051	916
885	7059	908
886	7067	900
887	7074	892
888	7082	884
889	7090	876
890	7098	868
891	7124	862
892	7135	854
893	7145	847
894	7161	840
895	7170	832
896	7178	824
897	7186	816
898	7194	808
899	7202	800
900	7210	792
901	7219	784
902	7226	776
903	7233	768
904	7241	760
905	7248	752
906	7256	744
907	7263	735
908	7270	727
909	7277	719
910	7284	711
911	7291	703
912	7299	695
913	7306	687
914	7313	679
915	7320	671
916	7328	663
917	7337	655
918	7345	647
919	7352	639
920	7360	631
921	7368	623
922	7376	615
923	7384	607
924	7392	599
925	7403	591
926	7410	583
927	7418	575
928	7426	567
929	7434	559
930	7442	551
931	7450	543
932	7459	535
933	7467	527
934	7475	519
935	7482	511
936	7490	503
937	7498	495
938	7506	487
939	7514	479
940	7521	471
941	7528	463
942	7536	455
943	7543	447
944	7550	439
945	7557	431
946	7564	423
947	7570	415
948	7577	407
949	7585	399
950	7592	391
951	7598	383
952	7605	375
953	7612	367
954	7619	359
955	7626	350
956	7634	343
957	7642	335
958	7649	327
959	7655	318
960	7662	310
961	7670	302
962	7677	294
963	7684	286
964	7692	278
965	7700	271
966	7707	263
967	7715	255
968	7722	247
969	7730	239
970	7737	231
971	7744	223
972	7751	215
973	7758	207
974	7765	199
975	7772	191
976	7780	183
977	7787	175
978	7795	167
979	7801	159
980	7808	151
981	7815	143
982	7823	135
983	7830	127
984	7838	119
985	7845	111
986	7853	103
987	7861	95
988	7869	87
989	7879	79
990	7886	71
991	7894	63
992	7901	55
993	7909	47
994	7917	39
995	7925	31
996	7933	23
997	7940	15
998	7946	7
999	7953	0
